name,value,year,lastValue,rank
Austria,3.17177,2018,3.17177,4
Austria,3.17177,2017.9,3.158475556,4
Austria,3.158475556,2017.8,3.145181111,4
Austria,3.145181111,2017.7,3.131886667,4
Austria,3.131886667,2017.6,3.118592222,4
Austria,3.118592222,2017.5,3.105297778,4
Austria,3.105297778,2017.4,3.092003333,4
Austria,3.092003333,2017.3,3.078708889,4
Austria,3.078708889,2017.2,3.065414444,4
Austria,3.065414444,2017.1,3.05212,4
Austria,3.05212,2017,3.05212,4
Austria,3.05212,2016.9,3.060315556,4
Austria,3.060315556,2016.8,3.068511111,4
Austria,3.068511111,2016.7,3.076706667,4
Austria,3.076706667,2016.6,3.084902222,4
Austria,3.084902222,2016.5,3.093097778,4
Austria,3.093097778,2016.4,3.101293333,4
Austria,3.101293333,2016.3,3.109488889,4
Austria,3.109488889,2016.2,3.117684444,4
Austria,3.117684444,2016.1,3.12588,4
Austria,3.12588,2016,3.12588,4
Austria,3.12588,2015.9,3.117425556,4
Austria,3.117425556,2015.8,3.108971111,4
Austria,3.108971111,2015.7,3.100516667,4
Austria,3.100516667,2015.6,3.092062222,4
Austria,3.092062222,2015.5,3.083607778,4
Austria,3.083607778,2015.4,3.075153333,4
Austria,3.075153333,2015.3,3.066698889,4
Austria,3.066698889,2015.2,3.058244444,4
Austria,3.058244444,2015.1,3.04979,4
Austria,3.04979,2015,3.04979,4
Austria,3.04979,2014.9,3.053623333,4
Austria,3.053623333,2014.8,3.057456667,4
Austria,3.057456667,2014.7,3.06129,4
Austria,3.06129,2014.6,3.065123333,4
Austria,3.065123333,2014.5,3.068956667,4
Austria,3.068956667,2014.4,3.07279,4
Austria,3.07279,2014.3,3.076623333,4
Austria,3.076623333,2014.2,3.080456667,4
Austria,3.080456667,2014.1,3.08429,4
Austria,3.08429,2014,3.08429,5
Austria,3.08429,2013.9,3.069915556,5
Austria,3.069915556,2013.8,3.055541111,5
Austria,3.055541111,2013.7,3.041166667,5
Austria,3.041166667,2013.6,3.026792222,5
Austria,3.026792222,2013.5,3.012417778,5
Austria,3.012417778,2013.4,2.998043333,5
Austria,2.998043333,2013.3,2.983668889,5
Austria,2.983668889,2013.2,2.969294444,5
Austria,2.969294444,2013.1,2.95492,5
Austria,2.95492,2013,2.95492,5
Austria,2.95492,2012.9,2.950453333,5
Austria,2.950453333,2012.8,2.945986667,5
Austria,2.945986667,2012.7,2.94152,5
Austria,2.94152,2012.6,2.937053333,5
Austria,2.937053333,2012.5,2.932586667,5
Austria,2.932586667,2012.4,2.92812,5
Austria,2.92812,2012.3,2.923653333,5
Austria,2.923653333,2012.2,2.919186667,5
Austria,2.919186667,2012.1,2.91472,5
Austria,2.91472,2012,2.91472,5
Austria,2.91472,2011.9,2.887382222,5
Austria,2.887382222,2011.8,2.860044444,5
Austria,2.860044444,2011.7,2.832706667,5
Austria,2.832706667,2011.6,2.805368889,5
Austria,2.805368889,2011.5,2.778031111,5
Austria,2.778031111,2011.4,2.750693333,5
Austria,2.750693333,2011.3,2.723355556,5
Austria,2.723355556,2011.2,2.696017778,5
Austria,2.696017778,2011.1,2.66868,5
Austria,2.66868,2011,2.66868,7
Austria,2.66868,2010.9,2.67506,7
Austria,2.67506,2010.8,2.68144,7
Austria,2.68144,2010.7,2.68782,7
Austria,2.68782,2010.6,2.6942,7
Austria,2.6942,2010.5,2.70058,7
Austria,2.70058,2010.4,2.70696,7
Austria,2.70696,2010.3,2.71334,7
Austria,2.71334,2010.2,2.71972,7
Austria,2.71972,2010.1,2.7261,7
Austria,2.7261,2010,2.7261,6
Austria,2.7261,2009.9,2.711726667,6
Austria,2.711726667,2009.8,2.697353333,6
Austria,2.697353333,2009.7,2.68298,6
Austria,2.68298,2009.6,2.668606667,6
Austria,2.668606667,2009.5,2.654233333,6
Austria,2.654233333,2009.4,2.63986,6
Austria,2.63986,2009.3,2.625486667,6
Austria,2.625486667,2009.2,2.611113333,6
Austria,2.611113333,2009.1,2.59674,6
Austria,2.59674,2009,2.59674,8
Austria,2.59674,2008.9,2.593707778,8
Austria,2.593707778,2008.8,2.590675556,8
Austria,2.590675556,2008.7,2.587643333,8
Austria,2.587643333,2008.6,2.584611111,8
Austria,2.584611111,2008.5,2.581578889,8
Austria,2.581578889,2008.4,2.578546667,8
Austria,2.578546667,2008.3,2.575514444,8
Austria,2.575514444,2008.2,2.572482222,8
Austria,2.572482222,2008.1,2.56945,8
Austria,2.56945,2008,2.56945,8
Austria,2.56945,2007.9,2.55267,8
Austria,2.55267,2007.8,2.53589,8
Austria,2.53589,2007.7,2.51911,8
Austria,2.51911,2007.6,2.50233,8
Austria,2.50233,2007.5,2.48555,8
Austria,2.48555,2007.4,2.46877,8
Austria,2.46877,2007.3,2.45199,8
Austria,2.45199,2007.2,2.43521,8
Austria,2.43521,2007.1,2.41843,8
Austria,2.41843,2007,2.41843,8
Austria,2.41843,2006.9,2.411852222,8
Austria,2.411852222,2006.8,2.405274444,8
Austria,2.405274444,2006.7,2.398696667,8
Austria,2.398696667,2006.6,2.392118889,8
Austria,2.392118889,2006.5,2.385541111,8
Austria,2.385541111,2006.4,2.378963333,8
Austria,2.378963333,2006.3,2.372385556,8
Austria,2.372385556,2006.2,2.365807778,8
Austria,2.365807778,2006.1,2.35923,8
Austria,2.35923,2006,2.35923,9
Austria,2.35923,2005.9,2.360786667,9
Austria,2.360786667,2005.8,2.362343333,9
Austria,2.362343333,2005.7,2.3639,9
Austria,2.3639,2005.6,2.365456667,9
Austria,2.365456667,2005.5,2.367013333,9
Austria,2.367013333,2005.4,2.36857,9
Austria,2.36857,2005.3,2.370126667,9
Austria,2.370126667,2005.2,2.371683333,9
Austria,2.371683333,2005.1,2.37324,9
Austria,2.37324,2005,2.37324,9
Austria,2.37324,2004.9,2.350226667,9
Austria,2.350226667,2004.8,2.327213333,9
Austria,2.327213333,2004.7,2.3042,9
Austria,2.3042,2004.6,2.281186667,9
Austria,2.281186667,2004.5,2.258173333,9
Austria,2.258173333,2004.4,2.23516,9
Austria,2.23516,2004.3,2.212146667,9
Austria,2.212146667,2004.2,2.189133333,9
Austria,2.189133333,2004.1,2.16612,9
Austria,2.16612,2004,2.16612,12
Austria,2.16612,2003.9,2.167057778,12
Austria,2.167057778,2003.8,2.167995556,12
Austria,2.167995556,2003.7,2.168933333,12
Austria,2.168933333,2003.6,2.169871111,12
Austria,2.169871111,2003.5,2.170808889,12
Austria,2.170808889,2003.4,2.171746667,12
Austria,2.171746667,2003.3,2.172684444,12
Austria,2.172684444,2003.2,2.173622222,12
Austria,2.173622222,2003.1,2.17456,12
Austria,2.17456,2003,2.17456,12
Austria,2.17456,2002.9,2.162495556,12
Austria,2.162495556,2002.8,2.150431111,12
Austria,2.150431111,2002.7,2.138366667,12
Austria,2.138366667,2002.6,2.126302222,12
Austria,2.126302222,2002.5,2.114237778,12
Austria,2.114237778,2002.4,2.102173333,12
Austria,2.102173333,2002.3,2.090108889,12
Austria,2.090108889,2002.2,2.078044444,12
Austria,2.078044444,2002.1,2.06598,12
Austria,2.06598,2002,2.06598,13
Austria,2.06598,2001.9,2.057771111,13
Austria,2.057771111,2001.8,2.049562222,13
Austria,2.049562222,2001.7,2.041353333,13
Austria,2.041353333,2001.6,2.033144444,13
Austria,2.033144444,2001.5,2.024935556,13
Austria,2.024935556,2001.4,2.016726667,13
Austria,2.016726667,2001.3,2.008517778,13
Austria,2.008517778,2001.2,2.000308889,13
Austria,2.000308889,2001.1,1.9921,13
Austria,1.9921,2001,1.9921,15
Austria,1.9921,2000.9,1.980313333,15
Austria,1.980313333,2000.8,1.968526667,15
Austria,1.968526667,2000.7,1.95674,15
Austria,1.95674,2000.6,1.944953333,15
Austria,1.944953333,2000.5,1.933166667,15
Austria,1.933166667,2000.4,1.92138,15
Austria,1.92138,2000.3,1.909593333,15
Austria,1.909593333,2000.2,1.897806667,15
Austria,1.897806667,2000.1,1.88602,15
Austria,1.88602,2000,1.88602,14
Austria,1.88602,1999.9,1.881503333,14
Austria,1.881503333,1999.8,1.876986667,14
Austria,1.876986667,1999.7,1.87247,14
Austria,1.87247,1999.6,1.867953333,14
Austria,1.867953333,1999.5,1.863436667,14
Austria,1.863436667,1999.4,1.85892,14
Austria,1.85892,1999.3,1.854403333,14
Austria,1.854403333,1999.2,1.849886667,14
Austria,1.849886667,1999.1,1.84537,14
Austria,1.84537,1999,1.84537,14
Austria,1.84537,1998.9,1.832723333,14
Austria,1.832723333,1998.8,1.820076667,14
Austria,1.820076667,1998.7,1.80743,14
Austria,1.80743,1998.6,1.794783333,14
Austria,1.794783333,1998.5,1.782136667,14
Austria,1.782136667,1998.4,1.76949,14
Austria,1.76949,1998.3,1.756843333,14
Austria,1.756843333,1998.2,1.744196667,14
Austria,1.744196667,1998.1,1.73155,14
Austria,1.73155,1998,1.73155,16
Austria,1.73155,1997.9,1.723034444,16
Austria,1.723034444,1997.8,1.714518889,16
Austria,1.714518889,1997.7,1.706003333,16
Austria,1.706003333,1997.6,1.697487778,16
Austria,1.697487778,1997.5,1.688972222,16
Austria,1.688972222,1997.4,1.680456667,16
Austria,1.680456667,1997.3,1.671941111,16
Austria,1.671941111,1997.2,1.663425556,16
Austria,1.663425556,1997.1,1.65491,16
Austria,1.65491,1997,1.65491,17
Austria,1.65491,1996.9,1.646672222,17
Austria,1.646672222,1996.8,1.638434444,17
Austria,1.638434444,1996.7,1.630196667,17
Austria,1.630196667,1996.6,1.621958889,17
Austria,1.621958889,1996.5,1.613721111,17
Austria,1.613721111,1996.4,1.605483333,17
Austria,1.605483333,1996.3,1.597245556,17
Austria,1.597245556,1996.2,1.589007778,17
Austria,1.589007778,1996.1,1.58077,17
Austria,1.58077,1996,1.58077,20
Azerbaijan,0.18484,2018,0.18484,46
Azerbaijan,0.18484,2017.9,0.184822222,46
Azerbaijan,0.184822222,2017.8,0.184804444,46
Azerbaijan,0.184804444,2017.7,0.184786667,46
Azerbaijan,0.184786667,2017.6,0.184768889,46
Azerbaijan,0.184768889,2017.5,0.184751111,46
Azerbaijan,0.184751111,2017.4,0.184733333,46
Azerbaijan,0.184733333,2017.3,0.184715556,46
Azerbaijan,0.184715556,2017.2,0.184697778,46
Azerbaijan,0.184697778,2017.1,0.18468,46
Azerbaijan,0.18468,2017,0.18468,46
Azerbaijan,0.18468,2016.9,0.18709,46
Azerbaijan,0.18709,2016.8,0.1895,46
Azerbaijan,0.1895,2016.7,0.19191,46
Azerbaijan,0.19191,2016.6,0.19432,46
Azerbaijan,0.19432,2016.5,0.19673,46
Azerbaijan,0.19673,2016.4,0.19914,46
Azerbaijan,0.19914,2016.3,0.20155,46
Azerbaijan,0.20155,2016.2,0.20396,46
Azerbaijan,0.20396,2016.1,0.20637,46
Azerbaijan,0.20637,2016,0.20637,46
Azerbaijan,0.20637,2015.9,0.208142222,46
Azerbaijan,0.208142222,2015.8,0.209914444,46
Azerbaijan,0.209914444,2015.7,0.211686667,46
Azerbaijan,0.211686667,2015.6,0.213458889,46
Azerbaijan,0.213458889,2015.5,0.215231111,46
Azerbaijan,0.215231111,2015.4,0.217003333,46
Azerbaijan,0.217003333,2015.3,0.218775556,46
Azerbaijan,0.218775556,2015.2,0.220547778,46
Azerbaijan,0.220547778,2015.1,0.22232,46
Azerbaijan,0.22232,2015,0.22232,46
Azerbaijan,0.22232,2014.9,0.220926667,46
Azerbaijan,0.220926667,2014.8,0.219533333,46
Azerbaijan,0.219533333,2014.7,0.21814,46
Azerbaijan,0.21814,2014.6,0.216746667,46
