name,value,year,lastValue,rank
General Electic,56853,2020,56853,38
General Electic,56853,2019.9,61365,38
General Electic,61365,2019.8,65878,38
General Electic,65878,2019.7,70391,38
General Electic,70391,2019.6,74903,38
General Electic,74903,2019.5,79416,38
General Electic,79416,2019.4,83928,38
General Electic,83928,2019.3,88441,38
General Electic,88441,2019.2,92954,38
General Electic,92954,2019.1,97466,37
General Electic,97466,2019,97466,37
General Electic,97466,2018.9,93953,37
General Electic,93953,2018.8,90439,37
General Electic,90439,2018.7,86926,38
General Electic,86926,2018.6,83412,38
General Electic,83412,2018.5,79899,39
General Electic,79899,2018.4,76385,39
General Electic,76385,2018.3,72872,39
General Electic,72872,2018.2,69358,39
General Electic,69358,2018.1,65845,39
General Electic,65845,2018,65845,39
General Electic,65845,2017.9,75343,39
General Electic,75343,2017.8,84841,39
General Electic,84841,2017.7,94339,37
General Electic,94339,2017.6,103837,36
General Electic,103837,2017.5,113335,35
General Electic,113335,2017.4,122833,35
General Electic,122833,2017.3,132332,35
General Electic,132332,2017.2,141830,35
General Electic,141830,2017.1,151328,33
General Electic,151328,2017,151328,33
General Electic,151328,2016.9,165574,33
General Electic,165574,2016.8,179821,32
General Electic,179821,2016.7,194067,32
General Electic,194067,2016.6,208314,28
General Electic,208314,2016.5,222560,24
General Electic,222560,2016.4,236807,20
General Electic,236807,2016.3,251053,19
General Electic,251053,2016.2,265299,14
General Electic,265299,2016.1,279546,11
General Electic,279546,2016,279546,10
General Electic,279546,2015.9,281151,10
General Electic,281151,2015.8,282756,10
General Electic,282756,2015.7,284361,10
General Electic,284361,2015.6,285965,10
General Electic,285965,2015.5,287570,9
General Electic,287570,2015.4,289175,9
General Electic,289175,2015.3,290780,9
General Electic,290780,2015.2,292385,8
General Electic,292385,2015.1,293990,8
General Electic,293990,2015,293990,8
General Electic,293990,2014.9,289520,8
General Electic,289520,2014.8,285051,7
General Electic,285051,2014.7,280582,7
General Electic,280582,2014.6,276113,7
General Electic,276113,2014.5,271643,8
General Electic,271643,2014.4,267174,8
General Electic,267174,2014.3,262705,9
General Electic,262705,2014.2,258235,10
General Electic,258235,2014.1,253766,11
General Electic,253766,2014,253766,12
General Electic,253766,2013.9,257080,11
General Electic,257080,2013.8,260394,11
General Electic,260394,2013.7,263707,10
General Electic,263707,2013.6,267021,10
General Electic,267021,2013.5,270335,8
General Electic,270335,2013.4,273649,7
General Electic,273649,2013.3,276962,6
General Electic,276962,2013.2,280276,6
General Electic,280276,2013.1,283590,6
General Electic,283590,2013,283590,6
General Electic,283590,2012.9,276536,6
General Electic,276536,2012.8,269483,6
General Electic,269483,2012.7,262429,6
General Electic,262429,2012.6,255375,6
General Electic,255375,2012.5,248322,6
General Electic,248322,2012.4,241268,7
General Electic,241268,2012.3,234215,7
General Electic,234215,2012.2,227161,7
General Electic,227161,2012.1,220107,10
General Electic,220107,2012,220107,11
General Electic,220107,2011.9,216660,11
General Electic,216660,2011.8,213213,11
General Electic,213213,2011.7,209766,12
General Electic,209766,2011.6,206318,13
General Electic,206318,2011.5,202871,13
General Electic,202871,2011.4,199424,13
General Electic,199424,2011.3,195977,13
General Electic,195977,2011.2,192529,13
General Electic,192529,2011.1,189082,14
General Electic,189082,2011,189082,14
General Electic,189082,2010.9,189726,14
General Electic,189726,2010.8,190369,14
General Electic,190369,2010.7,191013,14
General Electic,191013,2010.6,191657,15
General Electic,191657,2010.5,192300,16
General Electic,192300,2010.4,192944,16
General Electic,192944,2010.3,193588,16
General Electic,193588,2010.2,194231,14
General Electic,194231,2010.1,194875,12
General Electic,194875,2010,194875,12
General Electic,194875,2009.9,191122,12
General Electic,191122,2009.8,187369,13
General Electic,187369,2009.7,183615,14
General Electic,183615,2009.6,179862,14
General Electic,179862,2009.5,176109,14
General Electic,176109,2009.4,172356,15
General Electic,172356,2009.3,168603,16
General Electic,168603,2009.2,164850,18
General Electic,164850,2009.1,161097,19
General Electic,161097,2009,161097,19
General Electic,161097,2008.9,162090,19
General Electic,162090,2008.8,163082,19
General Electic,163082,2008.7,164075,17
General Electic,164075,2008.6,165068,15
General Electic,165068,2008.5,166061,13
General Electic,166061,2008.4,167054,10
General Electic,167054,2008.3,168047,10
General Electic,168047,2008.2,169040,8
General Electic,169040,2008.1,170033,7
General Electic,170033,2008,170033,7
General Electic,170033,2007.9,192767,7
General Electic,192767,2007.8,215500,5
General Electic,215500,2007.7,238234,4
General Electic,238234,2007.6,260968,4
General Electic,260968,2007.5,283702,4
General Electic,283702,2007.4,306436,4
General Electic,306436,2007.3,329170,3
General Electic,329170,2007.2,351903,3
General Electic,351903,2007.1,374637,3
General Electic,374637,2007,374637,3
General Electic,374637,2006.9,375629,3
General Electic,375629,2006.8,376621,3
General Electic,376621,2006.7,377613,3
General Electic,377613,2006.6,378605,3
General Electic,378605,2006.5,379597,3
General Electic,379597,2006.4,380589,3
General Electic,380589,2006.3,381581,3
General Electic,381581,2006.2,382573,2
General Electic,382573,2006.1,383564,2
General Electic,383564,2006,383564,2
General Electic,383564,2005.9,382096,2
General Electic,382096,2005.8,380627,2
General Electic,380627,2005.7,379158,2
General Electic,379158,2005.6,377689,2
General Electic,377689,2005.5,376220,2
General Electic,376220,2005.4,374751,2
General Electic,374751,2005.3,373282,2
General Electic,373282,2005.2,371813,1
General Electic,371813,2005.1,370344,1
General Electic,370344,2005,370344,1
General Electic,370344,2004.9,372071,1
General Electic,372071,2004.8,373797,1
General Electic,373797,2004.7,375524,1
General Electic,375524,2004.6,377250,1
General Electic,377250,2004.5,378977,1
General Electic,378977,2004.4,380703,1
General Electic,380703,2004.3,382430,1
General Electic,382430,2004.2,384156,1
General Electic,384156,2004.1,385883,1
General Electic,385883,2004,385883,1
General Electic,385883,2003.9,377570,1
General Electic,377570,2003.8,369257,1
General Electic,369257,2003.7,360944,1
General Electic,360944,2003.6,352631,1
General Electic,352631,2003.5,344318,1
General Electic,344318,2003.4,336005,1
General Electic,336005,2003.3,327692,1
General Electic,327692,2003.2,319379,1
General Electic,319379,2003.1,311066,1
General Electic,311066,2003,311066,1
General Electic,311066,2002.9,303460,1
General Electic,303460,2002.8,295854,1
General Electic,295854,2002.7,288248,1
General Electic,288248,2002.6,280642,2
General Electic,280642,2002.5,273036,2
General Electic,273036,2002.4,265430,2
