Year,Flops,t-1,t-1_Diff,t-2,t-2_Diff
1999,"$2,400,000,000,000.00","$1,300,000,000,000.00",$0.00,"$1,300,000,000,000.00","$932,000,000,000.00"
2000,"$4,900,000,000,000.00","$2,400,000,000,000.00","$1,100,000,000,000.00","$1,300,000,000,000.00",$0.00
2001,"$7,200,000,000,000.00","$4,900,000,000,000.00","$2,500,000,000,000.00","$2,400,000,000,000.00","$1,100,000,000,000.00"
2002,"$35,900,000,000,000.00","$7,200,000,000,000.00","$2,300,000,000,000.00","$4,900,000,000,000.00","$2,500,000,000,000.00"
2003,"$35,900,000,000,000.00","$35,900,000,000,000.00","$28,700,000,000,000.00","$7,200,000,000,000.00","$2,300,000,000,000.00"
2004,"$70,700,000,000,000.00","$35,900,000,000,000.00",$0.00,"$35,900,000,000,000.00","$28,700,000,000,000.00"
2005,"$280,600,000,000,000.00","$70,700,000,000,000.00","$34,800,000,000,000.00","$35,900,000,000,000.00",$0.00
2006,"$280,600,000,000,000.00","$280,600,000,000,000.00","$209,900,000,000,000.00","$70,700,000,000,000.00","$34,800,000,000,000.00"
2007,"$478,200,000,000,000.00","$280,600,000,000,000.00",$0.00,"$280,600,000,000,000.00","$209,900,000,000,000.00"
2008,"$1,100,000,000,000,000.00","$478,200,000,000,000.00","$197,600,000,000,000.00","$280,600,000,000,000.00",$0.00
2009,"$1,800,000,000,000,000.00","$1,100,000,000,000,000.00","$621,800,000,000,000.00","$478,200,000,000,000.00","$197,600,000,000,000.00"
2010,"$2,600,000,000,000,000.00","$1,800,000,000,000,000.00","$700,000,000,000,000.00","$1,100,000,000,000,000.00","$621,800,000,000,000.00"
2011,"$10,500,000,000,000,000.00","$2,600,000,000,000,000.00","$800,000,000,000,000.00","$1,800,000,000,000,000.00","$700,000,000,000,000.00"
2012,"$17,600,000,000,000,000.00","$10,500,000,000,000,000.00","$7,900,000,000,000,000.00","$2,600,000,000,000,000.00","$800,000,000,000,000.00"
2013,"$33,900,000,000,000,000.00","$17,600,000,000,000,000.00","$7,100,000,000,000,000.00","$10,500,000,000,000,000.00","$7,900,000,000,000,000.00"
2014,"$33,900,000,000,000,000.00","$33,900,000,000,000,000.00","$16,300,000,000,000,000.00","$17,600,000,000,000,000.00","$7,100,000,000,000,000.00"
2015,"$33,900,000,000,000,000.00","$33,900,000,000,000,000.00",$0.00,"$33,900,000,000,000,000.00","$16,300,000,000,000,000.00"
2016,"$93,000,000,000,000,000.00","$33,900,000,000,000,000.00",$0.00,"$33,900,000,000,000,000.00",$0.00
2017,"$93,000,000,000,000,000.00","$93,000,000,000,000,000.00","$59,100,000,000,000,000.00","$33,900,000,000,000,000.00",$0.00
2018,"$71,138,000,000,000,000.00","$93,000,000,000,000,000.00",$0.00,"$93,000,000,000,000,000.00",$0.00
